Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,OnTimeDelivery
C,Ship,3,2,278,10,low,M,25,532,1
A,Flight,6,2,284,3,low,F,31,4915,0
C,Road,6,5,151,2,medium,M,55,5107,1
F,Road,7,5,270,2,medium,M,10,6827,1
B,Ship,6,4,242,5,low,F,57,7077,0
B,Ship,2,1,100,10,low,F,51,3140,0
A,Ship,6,1,79,5,low,M,28,3166,1
D,Road,6,3,88,4,high,F,1,911,0
A,Road,3,2,296,9,medium,F,48,2613,0
D,Road,4,4,187,10,medium,F,20,4443,1
B,Flight,5,2,270,6,low,F,16,5720,0
A,Flight,3,4,221,3,low,F,2,4691,0
F,Ship,3,5,209,5,low,M,41,1938,0
C,Road,3,3,221,9,low,M,47,7017,0
D,Ship,5,5,112,3,low,F,30,7479,1
C,Road,7,2,110,10,low,M,0,5974,1
C,Ship,3,3,114,6,medium,F,0,4947,1
A,Flight,4,4,218,8,high,F,35,1278,0
C,Road,7,4,130,6,low,M,58,7016,0
F,Flight,6,3,296,4,medium,M,60,5130,1
C,Road,4,5,61,3,medium,M,3,1186,0
A,Ship,7,3,173,4,high,M,48,559,0
F,Road,6,5,51,3,low,M,40,7050,1
B,Flight,6,3,122,3,high,F,59,5466,1
C,Road,3,5,125,3,medium,M,20,6763,0
A,Ship,3,1,237,3,medium,M,39,6550,1
B,Road,5,3,74,9,low,M,39,5060,1
B,Flight,2,5,298,6,medium,M,26,2087,0
D,Ship,4,2,277,10,low,M,41,1316,0
F,Flight,5,2,167,6,low,F,35,3015,1
C,Road,5,3,238,2,low,F,10,1886,1
A,Flight,4,3,157,9,low,M,34,7525,1
D,Road,7,4,291,4,low,F,36,5651,1
F,Ship,4,5,148,3,medium,F,11,6379,0
D,Flight,6,3,71,7,high,F,49,665,0
F,Flight,2,2,274,5,low,F,24,2593,1
F,Road,7,2,296,5,medium,M,62,952,1
C,Flight,3,2,291,10,low,M,9,2370,1
F,Flight,2,5,105,9,low,F,57,2097,1
D,Ship,2,1,198,4,low,F,2,1171,0
F,Road,3,3,104,10,medium,F,54,4693,1
C,Road,2,1,89,2,low,M,11,4621,1
C,Ship,7,5,228,8,medium,F,44,3942,0
D,Ship,7,3,199,8,low,M,40,2946,1
B,Road,7,4,205,3,medium,M,41,1340,0
B,Ship,5,3,170,8,low,F,32,7736,0
F,Ship,5,3,53,8,medium,M,5,5461,0
A,Ship,7,3,75,10,low,M,1,5302,1
F,Road,3,3,264,7,medium,F,25,2705,1
D,Ship,3,3,161,10,low,F,47,5752,0
D,Flight,4,5,162,4,medium,F,56,5323,1
D,Flight,4,3,237,9,medium,M,45,679,0
D,Road,7,5,72,5,low,F,47,2563,1
D,Ship,2,3,218,2,medium,M,40,3193,1
C,Flight,2,3,107,8,medium,M,15,7835,1
B,Road,3,5,57,4,low,F,51,7821,1
D,Flight,2,3,165,5,high,M,11,6111,0
A,Ship,6,2,273,4,medium,M,14,811,0
A,Road,5,3,100,7,low,M,20,7796,1
A,Flight,2,4,280,2,high,M,24,3245,0
A,Road,2,5,238,8,low,M,29,7495,0
C,Flight,4,3,285,9,medium,M,32,4777,1
A,Flight,6,3,50,4,low,M,65,5345,0
D,Ship,2,5,169,10,medium,M,32,4926,1
F,Ship,5,1,79,3,low,F,27,5511,1
A,Flight,2,2,269,10,medium,F,40,1306,1
C,Road,3,2,66,6,low,F,0,6903,0
C,Road,6,3,200,7,low,M,62,4505,0
A,Ship,2,5,151,3,low,F,34,6817,1
F,Flight,6,4,171,6,medium,F,47,2845,0
A,Ship,2,3,201,7,low,M,38,5905,0
C,Flight,5,2,135,6,medium,F,19,3479,1
B,Flight,5,3,118,5,low,F,37,5472,1
D,Ship,6,5,138,9,low,F,22,3337,1
C,Road,7,4,229,3,high,M,11,5509,0
A,Ship,4,1,120,2,high,M,5,6520,0
D,Flight,4,4,295,3,high,M,6,3359,1
A,Ship,3,3,107,5,medium,M,50,977,0
A,Road,7,2,199,2,low,M,13,5866,1
B,Road,4,5,108,10,low,M,15,2680,1
D,Flight,6,3,221,2,low,M,22,1857,0
D,Ship,4,1,86,6,high,M,17,4286,1
B,Road,3,5,211,9,medium,F,6,6119,0
C,Ship,2,5,149,10,low,F,24,4527,0
A,Road,4,5,162,10,medium,F,32,6078,0
F,Flight,6,3,234,9,medium,F,50,5968,1
A,Flight,6,1,234,7,low,F,22,1846,1
A,Ship,3,3,217,7,low,F,49,3968,1
C,Flight,3,5,69,10,low,M,20,2169,0
A,Road,5,5,278,3,high,F,62,3949,0
B,Flight,5,2,66,4,low,M,20,975,0
B,Road,5,4,229,7,medium,F,26,5842,0
D,Road,2,3,53,9,high,F,25,3338,1
F,Flight,6,1,240,8,high,M,18,2393,1
A,Road,5,5,294,9,low,F,57,7528,0
A,Road,6,3,99,6,low,F,6,2105,0
C,Ship,3,4,131,10,medium,M,14,4745,1
B,Ship,2,3,269,7,low,M,65,3616,1
F,Ship,3,4,99,3,medium,M,65,2605,1
D,Flight,6,3,65,7,medium,M,46,5659,1
B,Ship,7,2,284,5,medium,F,45,4900,0
D,Road,7,3,121,6,low,M,43,5141,0
C,Flight,5,2,110,6,low,F,8,7152,0
C,Flight,7,4,93,2,low,F,10,3033,1
A,Flight,3,5,195,6,high,M,55,3801,1
F,Flight,7,5,295,10,medium,M,3,6842,1
D,Road,4,3,99,9,low,M,36,1012,0
B,Road,2,1,270,9,low,M,33,3923,0
C,Ship,6,3,281,4,medium,F,46,2569,1
A,Flight,5,2,129,10,low,F,29,5851,1
A,Ship,3,2,79,10,medium,F,45,694,0
D,Road,2,4,98,8,high,M,32,4791,0
C,Flight,5,3,147,7,low,M,49,5234,1
F,Road,3,4,271,10,medium,F,14,6340,0
C,Ship,7,1,198,7,low,F,19,6358,0
D,Road,6,5,199,4,low,M,39,3953,0
D,Flight,4,5,224,7,low,F,31,6346,1
C,Flight,4,3,74,3,medium,M,11,5328,1
D,Ship,7,4,263,3,low,M,14,5036,0
C,Flight,6,4,105,8,high,M,58,1973,1
B,Road,2,1,241,9,medium,M,59,3937,1
C,Road,6,4,205,8,low,F,3,3823,0
C,Road,7,2,280,6,low,M,26,1258,0
D,Road,3,2,210,5,medium,F,57,1061,0
D,Ship,2,2,243,9,medium,F,52,1035,0
A,Road,4,3,53,10,low,F,38,4661,0
A,Ship,7,2,257,8,high,F,14,1919,0
B,Road,3,2,61,2,medium,F,18,7277,1
A,Ship,7,5,194,5,high,M,13,3960,1
C,Road,5,3,297,5,high,F,5,7645,1
D,Road,5,2,85,4,medium,F,33,3138,0
A,Ship,5,1,65,5,medium,F,24,6336,0
A,Flight,4,2,280,10,low,F,40,5117,1
B,Flight,6,3,200,2,high,M,49,3081,0
B,Flight,2,4,249,3,medium,F,41,5348,0
C,Ship,4,5,170,8,medium,M,65,2912,1
D,Flight,3,5,186,10,low,F,21,4681,1
B,Flight,3,3,127,8,medium,M,27,6647,1
A,Ship,5,2,104,2,low,F,0,1077,0
D,Flight,2,1,122,8,medium,F,43,2889,1
D,Flight,5,2,113,7,low,M,22,2732,0
A,Flight,3,2,224,2,medium,M,4,3659,0
B,Ship,3,1,294,2,medium,M,14,1293,1
A,Ship,6,5,139,3,low,M,3,5129,1
D,Flight,6,2,277,7,low,F,43,2488,0
F,Flight,6,4,244,5,low,F,32,4797,0
F,Ship,5,4,295,5,medium,F,59,3562,0
C,Flight,7,3,187,7,low,M,45,2097,1
A,Ship,2,3,138,10,low,F,26,4358,1
A,Flight,6,1,53,2,medium,M,27,2204,1
C,Ship,4,1,79,3,low,M,45,521,1
C,Road,6,3,291,9,medium,F,33,6261,0
C,Road,5,2,188,9,low,F,28,3336,0
D,Ship,2,5,100,7,low,M,54,1612,1
A,Road,6,4,196,7,medium,F,56,521,1
D,Flight,2,1,291,9,medium,M,21,2428,1
C,Ship,4,3,190,3,low,M,14,4256,1
A,Ship,3,4,234,3,low,F,26,2036,1
D,Flight,2,1,277,2,low,M,59,3074,1
D,Flight,7,1,180,7,low,M,20,6801,0
C,Ship,6,2,161,7,low,F,36,7424,1
A,Flight,5,1,127,7,low,F,23,3649,1
C,Ship,7,5,251,3,low,F,47,5086,1
A,Flight,7,1,215,8,low,M,22,6165,0
F,Ship,5,5,281,4,medium,M,12,7308,1
B,Flight,5,2,76,2,medium,M,58,7084,0
B,Flight,5,5,137,2,low,M,4,7700,0
B,Road,7,4,257,10,medium,M,14,7902,0
C,Road,2,1,187,4,low,M,23,5704,0
F,Road,5,3,167,9,low,M,55,2153,1
A,Flight,3,3,230,8,low,F,7,6867,0
D,Ship,7,5,204,3,medium,F,41,4099,0
A,Flight,7,2,56,3,medium,M,6,7736,1
D,Road,7,5,164,5,medium,F,23,6286,1
A,Flight,4,5,141,3,medium,F,26,5553,1
F,Road,2,5,139,6,high,M,2,6662,0
D,Road,2,4,131,8,low,M,47,5385,1
C,Ship,5,4,62,3,low,F,21,4268,1
A,Ship,7,5,121,10,low,M,39,7613,0
A,Road,7,2,140,2,low,M,47,5607,1
D,Road,5,1,237,3,low,M,48,7106,0
C,Flight,2,3,191,8,medium,F,28,725,1
C,Road,5,4,154,6,medium,F,16,5201,0
F,Flight,5,1,93,2,medium,M,6,3350,1
C,Road,5,4,247,5,medium,F,42,1665,0
C,Ship,5,4,133,9,medium,F,34,5450,1
C,Ship,5,4,295,6,low,F,39,4964,0
B,Road,6,5,77,3,medium,M,5,2170,1
F,Flight,6,5,72,10,low,M,1,1633,0
A,Flight,7,4,61,2,low,M,38,717,0
D,Flight,7,4,201,2,low,M,32,6224,1
A,Road,6,3,100,6,high,M,22,5373,1
F,Road,2,1,157,10,high,M,32,4079,0
D,Ship,4,1,199,7,high,M,29,2595,0
F,Ship,2,2,111,6,high,M,8,1873,0
C,Road,7,2,75,7,medium,F,61,3617,0
D,Ship,6,2,263,7,high,M,24,4193,0
C,Flight,2,5,107,10,low,F,46,3658,0
A,Flight,4,5,248,10,low,F,50,4834,0
A,Road,5,3,192,6,low,M,27,2829,1
D,Flight,3,5,289,5,low,F,35,4329,1
D,Road,6,2,271,2,medium,M,60,6580,0
F,Flight,6,4,117,7,low,M,32,1526,0
F,Road,4,2,55,8,medium,F,61,4188,0
C,Flight,5,3,289,8,high,M,25,5181,0
D,Flight,5,4,160,2,medium,F,63,5648,0
A,Ship,3,5,179,7,low,F,54,3960,1
F,Ship,5,4,208,9,low,F,5,7667,1
F,Ship,4,3,73,4,low,F,13,3384,0
A,Ship,7,5,84,2,low,M,48,6786,0
F,Ship,5,1,96,8,medium,M,49,7245,1
C,Ship,7,2,80,5,low,M,16,1805,0
D,Road,7,2,138,6,low,M,54,3607,1
A,Road,4,3,249,3,low,F,59,4087,1
D,Ship,6,3,125,8,medium,F,45,4586,1
F,Road,6,2,167,2,medium,F,62,7150,1
F,Ship,6,4,299,5,medium,M,47,2381,1
A,Road,2,1,179,9,low,M,61,2277,0
C,Flight,6,1,256,8,low,F,15,3856,1
B,Road,4,3,153,8,medium,M,64,3482,0
A,Road,3,3,108,8,medium,M,47,3815,1
B,Road,5,4,145,6,low,F,53,1033,0
B,Flight,6,3,112,4,high,M,61,1201,0
C,Ship,2,1,295,8,medium,F,5,7119,1
B,Road,7,2,252,9,low,M,32,3361,1
B,Road,2,1,194,8,low,F,41,2906,0
C,Flight,4,4,103,7,medium,M,29,4806,1
B,Ship,3,2,174,10,high,M,6,2802,0
B,Road,6,2,198,7,low,F,39,3164,1
B,Flight,6,1,71,6,low,F,60,6632,0
A,Ship,2,2,174,7,medium,M,13,1010,1
A,Ship,4,2,146,5,medium,M,60,7231,1
A,Road,2,3,165,7,medium,F,63,5853,1
C,Road,2,2,232,5,medium,M,54,3961,1
F,Road,3,4,78,6,low,M,43,982,0
B,Road,4,2,256,7,medium,F,57,2686,0
B,Flight,3,3,198,2,medium,F,33,6388,1
C,Flight,4,5,295,7,high,M,56,4148,0
B,Road,6,5,51,7,high,F,28,6522,0
A,Ship,5,4,297,2,medium,F,36,926,0
F,Road,7,4,91,8,high,F,61,5359,1
D,Ship,5,2,101,6,medium,M,0,4381,1
B,Ship,4,2,87,9,medium,M,51,2384,1
A,Ship,5,5,180,6,low,M,56,7061,1
D,Flight,2,5,202,6,medium,F,56,7802,1
F,Ship,6,1,126,3,high,F,65,7314,0
D,Ship,7,5,265,5,medium,F,60,6767,0
A,Flight,7,5,239,5,medium,M,51,811,0
D,Ship,7,4,272,9,low,F,48,5748,0
C,Ship,6,1,192,4,medium,F,22,4952,1
D,Road,5,1,247,2,low,F,20,1677,1
B,Ship,7,2,154,8,low,M,57,3856,0
B,Ship,7,2,59,10,low,F,8,2198,0
C,Ship,4,1,250,7,low,M,57,1560,0
A,Ship,2,1,291,3,high,M,47,5373,0
B,Ship,4,2,282,3,medium,F,60,5304,1
F,Flight,5,4,169,2,low,M,36,2513,1
B,Ship,6,4,176,7,medium,M,4,613,1
B,Ship,6,4,163,9,low,M,32,6113,0
A,Flight,4,4,282,2,medium,M,64,503,1
D,Flight,3,2,118,2,medium,M,6,1210,0
B,Ship,4,3,158,2,medium,M,41,5353,1
C,Ship,3,5,93,6,low,M,59,1138,1
D,Ship,4,5,218,8,medium,F,3,7270,0
F,Road,3,5,260,5,high,M,3,2992,0
A,Road,3,5,69,2,low,F,17,967,0
F,Ship,7,2,274,2,low,M,49,2383,0
D,Flight,7,3,156,4,high,M,12,3194,1
D,Ship,3,2,214,6,high,F,30,4542,1
D,Flight,3,3,272,6,low,F,41,6820,1
F,Flight,2,2,216,10,low,M,10,4272,1
D,Flight,3,1,254,10,high,F,20,7809,0
F,Ship,7,3,168,10,low,M,25,2235,1
D,Ship,3,5,279,9,low,M,14,3110,0
C,Flight,6,3,158,10,low,M,23,3049,1
D,Road,2,4,247,9,medium,F,59,2578,1
F,Road,3,3,288,9,low,M,34,6382,0
B,Road,7,4,57,9,low,M,27,7797,0
D,Flight,7,4,92,9,low,F,28,7611,0
B,Ship,5,1,187,6,low,M,51,7758,0
C,Flight,7,3,90,4,low,M,61,4766,0
A,Road,2,1,181,5,low,F,55,7920,1
C,Ship,7,5,255,10,low,F,1,1611,1
D,Flight,6,3,181,8,high,M,64,7334,0
B,Flight,4,2,73,10,medium,F,62,5049,0
B,Road,6,2,288,8,high,M,59,1278,1
F,Flight,6,2,70,9,medium,F,65,3236,1
B,Ship,2,4,187,4,high,F,13,3075,1
F,Road,2,2,95,9,medium,M,27,7783,1
A,Road,5,5,266,5,high,M,43,7376,1
D,Ship,7,3,247,7,medium,F,59,5788,1
F,Road,5,3,257,2,medium,M,20,5521,0
A,Flight,2,4,170,3,low,M,33,2976,0
B,Flight,7,4,93,8,high,F,53,4282,0
B,Road,2,4,269,7,low,F,38,7171,1
A,Ship,2,5,149,6,high,M,3,1751,1
B,Flight,4,3,82,8,low,F,27,6034,1
A,Ship,6,1,143,3,medium,F,38,7678,0
F,Flight,5,4,85,5,low,M,64,7878,0
F,Flight,5,2,202,6,low,M,44,1857,1
A,Road,3,1,62,9,low,M,60,4091,1
F,Road,4,1,216,7,low,M,59,1279,1
F,Ship,2,4,256,7,medium,F,15,5598,0
F,Road,2,2,215,6,high,M,50,3403,1
C,Flight,4,4,207,6,low,F,44,560,0
D,Flight,7,4,63,2,medium,M,30,2457,0
B,Ship,5,2,99,5,low,F,6,5248,0
C,Ship,2,1,117,10,high,F,50,6085,1
F,Flight,3,1,50,3,low,M,4,6806,0
A,Road,5,2,238,7,low,F,65,7376,1
F,Road,6,1,52,3,low,F,40,5937,1
D,Ship,4,5,286,10,low,M,9,519,0
F,Ship,5,4,227,6,medium,M,64,2389,1
A,Flight,6,5,238,10,high,M,2,6710,0
D,Flight,3,5,213,6,low,F,42,4977,1
F,Ship,7,5,181,10,low,F,44,2226,0
D,Flight,4,3,220,3,medium,F,25,5467,0
B,Ship,7,3,63,8,high,F,41,4573,1
B,Ship,2,5,138,9,medium,F,29,5458,1
F,Road,7,4,152,4,low,F,23,2155,0
D,Ship,2,5,174,2,low,M,43,5178,1
A,Flight,6,5,116,3,medium,M,12,7273,1
F,Road,5,3,56,6,low,F,36,5296,0
B,Road,3,5,57,10,medium,M,18,1512,0
B,Flight,6,4,93,6,low,M,4,6949,1
F,Flight,3,4,241,2,low,M,35,1710,1
D,Flight,7,5,184,2,high,F,54,3747,1
B,Ship,3,4,297,3,medium,F,51,3076,0
D,Road,7,5,97,2,low,F,33,1319,1
B,Ship,3,3,111,9,low,M,7,7866,1
B,Ship,4,5,74,3,medium,M,3,1574,0
C,Ship,6,1,258,9,low,F,40,7224,1
B,Ship,4,3,267,6,high,M,40,5195,0
A,Road,5,4,167,2,high,F,30,7362,0
F,Road,5,4,245,5,low,F,59,6069,0
F,Ship,2,3,241,3,high,M,50,3244,0
D,Flight,2,1,162,7,medium,M,39,3458,1
B,Road,2,3,195,6,low,M,24,4680,0
A,Ship,5,2,171,10,low,F,60,3160,1
D,Flight,3,1,53,4,low,M,17,3905,0
C,Flight,7,3,194,6,medium,M,37,6502,0
D,Ship,3,2,96,8,low,M,63,1141,1
D,Road,6,5,167,10,medium,M,53,4812,0
B,Flight,5,1,258,4,low,F,48,1294,0
C,Road,7,5,94,5,low,M,44,6695,1
D,Road,7,2,138,2,medium,F,61,3176,1
A,Flight,7,4,235,3,high,F,51,5158,1
A,Ship,2,4,52,4,medium,M,30,5273,1
F,Flight,7,4,189,8,low,M,55,7528,0
C,Flight,7,5,268,8,low,F,18,1542,0
C,Road,5,1,194,2,medium,F,53,5213,0
F,Ship,3,5,167,10,medium,M,27,3555,0
D,Road,3,5,71,4,medium,M,58,657,0
C,Flight,4,4,88,4,high,F,61,5092,0
A,Ship,4,5,88,3,medium,M,49,6717,1
A,Ship,6,2,299,4,high,F,37,2368,1
B,Ship,5,3,156,7,low,M,9,6272,1
C,Ship,4,3,289,5,medium,M,34,2446,0
D,Ship,4,3,149,3,high,F,45,7942,0
F,Flight,5,4,65,9,low,F,23,4742,1
F,Flight,3,4,278,2,high,F,31,984,0
D,Flight,6,3,228,9,medium,F,26,3996,1
B,Road,6,1,167,3,high,F,25,770,1
F,Ship,6,3,78,10,medium,F,43,6543,0
C,Ship,4,5,255,5,low,M,16,2903,0
B,Flight,3,3,120,5,low,M,15,6415,0
C,Ship,6,3,218,8,medium,M,25,7205,1
A,Road,5,1,234,4,low,M,55,5396,1
B,Ship,6,4,205,4,low,F,36,6431,1
F,Ship,2,4,126,5,low,F,15,6698,1
B,Road,3,5,257,4,medium,F,1,6764,0
B,Flight,2,3,198,9,low,F,29,5961,0
B,Flight,3,2,181,10,high,M,54,5500,1
B,Ship,7,5,280,6,medium,M,62,5655,0
C,Road,5,4,175,4,low,M,63,6841,1
A,Flight,7,1,148,8,low,M,64,1141,1
D,Flight,4,4,165,4,medium,F,26,4062,1
B,Flight,4,4,64,7,low,M,8,1694,0
F,Ship,7,1,298,5,low,F,38,1677,1
B,Road,3,3,230,8,low,M,34,1080,1
F,Ship,6,3,139,7,low,M,32,1802,0
C,Flight,2,4,223,8,low,F,12,4143,1
F,Road,5,5,184,5,low,M,52,4473,1
D,Ship,6,2,195,7,high,F,0,1072,1
A,Flight,4,5,138,8,low,M,49,3892,1
F,Flight,6,5,278,9,low,F,46,5974,1
F,Ship,7,4,198,10,low,M,51,2536,1
A,Flight,7,4,165,4,low,F,33,3954,1
D,Flight,2,2,185,6,medium,M,6,6684,0
B,Road,4,2,236,4,low,M,45,2900,1
F,Flight,3,2,69,6,medium,F,23,5389,1
A,Ship,5,4,131,3,high,M,38,7628,0
C,Road,7,4,166,4,medium,F,61,5700,0
A,Ship,5,5,260,8,low,M,40,1923,0
C,Flight,4,4,293,9,low,F,28,1650,0
D,Road,3,3,116,6,medium,F,16,799,1
B,Road,7,3,232,4,medium,M,8,657,0
A,Road,2,2,111,5,low,M,14,4725,0
F,Road,5,4,279,4,medium,M,3,5431,1
D,Ship,4,3,67,4,medium,M,20,7872,0
A,Flight,5,5,140,10,high,M,47,1049,0
F,Flight,3,1,256,5,high,F,7,1674,1
A,Road,2,5,159,7,medium,M,45,2576,1
C,Flight,3,1,105,4,low,M,6,995,0
A,Ship,7,5,134,9,low,F,8,1580,1
A,Flight,6,3,199,5,medium,F,47,700,1
A,Ship,3,4,57,9,medium,M,51,4354,1
D,Ship,3,1,188,3,medium,F,28,4405,0
A,Flight,5,4,156,10,high,F,2,1744,0
F,Ship,3,4,61,3,medium,F,30,6997,0
C,Ship,4,3,225,4,low,M,62,5444,0
C,Ship,7,2,152,4,low,M,23,4161,0
A,Ship,5,2,112,6,low,M,47,4290,0
D,Road,5,1,76,4,medium,M,34,5333,0
D,Flight,6,3,84,9,high,F,24,6582,0
F,Road,7,4,179,8,low,F,55,1413,0
A,Ship,4,5,276,2,low,F,20,2008,1
C,Flight,7,5,272,7,medium,F,14,6615,0
D,Ship,3,1,185,3,low,M,2,2352,1
A,Flight,6,1,69,9,high,M,9,2330,1
D,Road,4,1,57,9,medium,F,49,1274,1
D,Flight,6,3,240,8,medium,F,12,586,0
C,Ship,7,5,117,9,medium,M,43,5720,1
B,Flight,2,3,208,2,medium,F,0,879,1
F,Flight,7,3,296,9,low,F,46,4711,0
F,Road,3,4,209,2,low,F,54,2370,1
C,Ship,6,3,190,4,medium,F,32,6027,0
D,Flight,2,3,135,5,high,F,15,7879,1
A,Road,3,4,75,4,low,M,47,2968,1
D,Flight,6,2,130,3,high,M,34,715,1
C,Ship,6,4,206,4,low,M,50,6593,0
F,Flight,7,1,268,10,medium,F,59,7152,1
D,Flight,6,2,169,3,medium,M,43,3411,1
F,Flight,6,5,263,6,low,F,47,4362,1
A,Flight,5,3,67,4,low,F,0,1428,1
F,Ship,6,2,118,10,medium,M,34,6005,1
F,Road,7,5,189,8,low,F,9,7407,0
B,Road,5,4,179,4,high,M,11,704,0
B,Flight,5,4,219,3,low,M,34,3217,0
B,Ship,2,1,184,3,low,F,38,7600,0
F,Ship,3,1,96,6,low,M,44,5589,1
C,Ship,5,2,172,10,low,M,27,6206,0
F,Ship,4,3,267,3,high,F,23,1496,0
C,Ship,5,4,103,3,low,F,19,895,0
C,Ship,4,2,280,9,medium,F,10,2117,0
B,Flight,2,2,64,4,medium,M,27,3527,1
D,Road,4,2,289,4,low,M,19,7972,1
A,Road,2,1,295,7,high,M,62,832,0
B,Flight,2,4,235,7,low,M,57,2425,1
B,Road,2,1,210,7,medium,F,39,6576,1
D,Ship,4,1,288,6,medium,F,6,6612,1
A,Ship,4,2,244,5,medium,M,36,933,1
F,Road,2,5,240,10,medium,M,28,7602,0
F,Ship,2,5,283,5,high,F,35,6135,0
B,Ship,3,5,225,2,high,M,34,5495,0
A,Road,2,2,115,9,medium,F,21,3420,0
B,Flight,6,3,130,9,low,F,17,6296,0
C,Road,3,4,242,4,low,F,56,1727,0
B,Road,3,2,85,10,high,M,33,2407,0
B,Road,3,2,284,8,high,F,8,2488,0
